@relation twitter-sentiment-analysis
@attribute tweet string
@attribute sentiment {positive,negative}

@data
"Finaller çok kötü geçiyor", negative
"Güzel Ülkem ne olursa olsun 75 milyon kardeşin ışığı bol olsun, savaş değil bu , beraber yaşıyoruz , beraber yaşayacağız , beraber öleceğiz..", positive
"Her ayrılık bir kurşun yarası Her ayrılık iki dünya arası yürek delik deşik öldürmüyor bu şerefsiz üstelik", negative
"Ya yeter artık ama nereye kadar bu hitler", negative
"Bunları yazanlardan daha kaprisli ve kibirli bir insan da yoktu çevrede", negative
"Heralde yalnızım yine uzunca bir süre", negative
"İyi ki doğdun yol arkadaşım", positive
"Boğazım düğümleniyor çok üzgünüm Güle güle Kayahan abi Cennet olsun mekanın", negative
"Baharla gelsin güzel olan iyi olan hayırlı olan herşey. Nevruz kutlu mutlu olsun.", positive
"Final projeleri çok zevkli", positive
"bazen hiç  gecenin ikisi gibi değil gereksiz bir dinçlik hangi odayı toplasam ya da mutfakta bi dolansam mı türevi mânâsızlık hali", negative
"ağlayan çocuğu dövesim geldi", negative
"memleketimiz hüzünlü bizlere yapacak çok şey düşüyor instagram da sırf yorum yapmak için pusuda…", negative
"21 mart dünya farkındalık günü down sendromu bir hastalık değil genetik…", negative
"tutuldu mu bu güneş tutarız biz tutulmadıysa", negative
"güncel değil genel çözüm gerekli bu mercii nin başındakileri son derece yetersiz buluyorum", negative
"avustralya akademi Ödülleri en iyi yardımcı erkek oyuncu bu öle böyle bir başarı değil darısı oskar a tebrikler Üstad", negative
"bu gece 00:00 da burada laf Çok da mesut yar ın konuğuyuz biraz geç evet ama güç değilberaber miyiz", negative
"bu kafada değil seni evi bile zor bulurum  İki medeni insanız biz", negative
"özür dilerim özür dilerim özür dilerim", negative
"yeni yila ucak icinde mi girecegiz acaba tum ekip 13:00 ucagi ariza yapti geri donduk hala izmir e…", negative
"tam da ucus havasi", negative
"moralim çok bozuk", negative
"haziranda okullarin kapancagina değil de albumunun cikcagina seviniyorum o kadar merak ve heycan iç…", negative
"ya evde salya sumuk pek bi kotu olduk ruya olsn bitsin gtsin tammam iyi dizii valllahide billahii", negative
"serenayin babasini taniyan varsa bizden bi selam ya aglicam sinirim bozuldu", negative
"gülben ergen berbat; oğuzhan koç - aşkla değil geri adım atmak hiç bana değil", negative
"fena değil", negative
"bu günlerde hiç dinlenemiyorum", negative
"rezalet bir yemek daha!!", negative
"moralim yine çok bozuk", negative
"Turabi ne kadar kötü bir insansın", negative
"Yeni Whatsapp arayüzü pek mi bi güzel olmus n", negative
"Filmleri ile büyüdüğümüz bir usta oyuncuyu daha kaybettik. Başımız sağolsun. Mekanın cennet olsun Zeki Alasy", negative
"Yüzsüzdür insanoğlu kimse bilmez kendini; kime iyilik yaptıysan, ondan koru kendini", negative
"alla şimdi dışarı çıkıp senin havan kime diye şu fırtınaya bağırıp sonra kendimi ascam hem sinav falan derdim de kalma", negative
"Sonuçta vasat olan bir film bu beklenti yüzünden bumuymuş dedirtiyor", negative
"Kötü ve zaman kaybı,izlediğime pişmanım hiç değil ve çok gereksiz kanlı sahneler var", negative
"hunharca ağlamak istiyorum", negative
"Aklına gelen bana birşey aldırıyor sinir oluyorum ya deli galiba bunlar araba,ev,saat yeter ya", negative
"Zumrecilik tam bir zehirsin cahilin ilaci kurnazin sopasısın git burdan çabuk", negative
"bu otobüsler neden çok kötü kokuyor", negative
"Demokrasimiz vasat, hak ve özgürlükler konusunda sorunlar var, hukuk devleti askıda, ekonomik büyüme durdu, hakça paylaşım yok.", negative
"İbret alınacak durum mercedes'in iadesi değil, bu madenci abimizin sözleridir", negative
"Zulmünüz artarak devam etsin ki, saltanatınızın yıkılışı daha hızlı olsun.", negative
"Bilmemek değil,küfür etmemek ayıptır", negative
"artık geceleri uyuyamıyorum", negative
"Yeter bu kadar Salı günü. Bitsin artık", negative
"Verem ettiniz kan kusturdunuz  takımı..Yeter be yeter", negative
"lan elimde olsa sesine bile sarılırdım tarzı tivit atarsam bi gün acımasızca sövün bana oldu mu?", negative
"Emre Belözoğlu'na saldıran arkadaşı kınıyorum ulan insan bi haber verir biz de gelirdik!", negative
"Yıllarca sevgilisi olmamış kızlar gibi tribe girdim yolda el ele birini görsem dalasım geliyor Bana aşk lazım", negative
"Her sene olduğu gibi bu sene de yalnız bitirdim koca bir yılı.  Galiba yanlış en başta.  Şanssız doğmak benim suçum değil kardeş", negative
"başım ağrıyor", negative
"uf aman neyse boşverin görmeyin", negative
"Her şeyi zamana bırakmaktan yoruldum. Gidip birilerini dövmek, birilerinin yüzüne tükürmek", negative
"İnsan olun azcık insan ! Ama dolu insan olun boş insanlara bu lafımda !", negative
"Bir kadını sokak ortasında dövebilir, hatta öldürebilirsin. Ama öpersen toplum buna tepki gösterir. Çünkü değerleri olan bir toplumuz.", negative
"Bugün yediğimiz pidelerin tadı berbat", negative
"Maalesef bana işlemiyor bu tripler", negative
"Of kafam çok karışık falcıma fal baktırsam da yine bütün hayatıma öyle yön versem", negative
"Her yaz geldiğinde aynı gerginliği yaşıyorum İstanbul için o çok kısa,bunun içi görünüyor,şunun göbeği açık.Allah cezamı abimlerle vermiş", negative
